PLOT_ID,CENTER_LON,CENTER_LAT,SIZE_M,SHAPE,FLAGGED,ANALYSES,SAMPLE_POINTS,USER_ID,ANALYSIS_DURATION,COLLECTION_TIME,PL_LONGITUDE,PL_LATITUDE,PL_FID_REFDTA,PL_CID,PL_FID_CUT_20,PL_NIVEL2,PL_NIV2_INT,PL_BUFF_DIST,PL_ORIG_FID,PL_TRUENIV2_I,PL_PLOTID,CLASES DE ELEMENTOS DE PAISAJE:ARBOL NATIVO,CLASES DE ELEMENTOS DE PAISAJE:ARBOL DE PLANTACION,CLASES DE ELEMENTOS DE PAISAJE:ARBOL DE MANGLE,CLASES DE ELEMENTOS DE PAISAJE:VEGETACION HERBECEA/PASTOS,CLASES DE ELEMENTOS DE PAISAJE:VEGETACION ARBUSTIVA,CLASES DE ELEMENTOS DE PAISAJE:VEGETACION DE PARAMO,CLASES DE ELEMENTOS DE PAISAJE:AGUA NATURAL,CLASES DE ELEMENTOS DE PAISAJE:AGUA ARTIFICIAL,CLASES DE ELEMENTOS DE PAISAJE:VEGETACION DE HUMEDALES,CLASES DE ELEMENTOS DE PAISAJE:CULTIVOS,CLASES DE ELEMENTOS DE PAISAJE:ESTRUCTURA DE VIVIENDA,CLASES DE ELEMENTOS DE PAISAJE:CONSTRUCCION DE INFRAESTRUCTURA,CLASES DE ELEMENTOS DE PAISAJE:CARRETERAS Y LOTES,CLASES DE ELEMENTOS DE PAISAJE:VEGETACION DE ASENTAMIENTOS,CLASES DE ELEMENTOS DE PAISAJE:SUELO DESNUDO,CLASES DE ELEMENTOS DE PAISAJE:NIEVE/HIELO,CLASES DE ELEMENTOS DE PAISAJE:OTRAS/NUBE
16,-80.85411774,-1.07576107,30.0,square,false,0,25,,,,-80.85411774,-1.07576107,10653,3,3,BOSQUE NATIVO,4,20,22570,0,10653_4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,-78.98409812,-1.724574582,30.0,square,false,0,25,,,,-78.98409812,-1.724574582,34627,11,11,TIERRA AGROPECUARIA,5,20,16718,0,34627_5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,-80.74377599,-2.094408919,30.0,square,false,0,25,,,,-80.74377599,-2.094408919,4967,1,1,AREA SIN COBERTURA VEGETAL,2,20,14185,0,4967_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,-78.81196294,-1.481459089,30.0,square,false,0,25,,,,-78.81196294,-1.481459089,17299,5,5,GLACIAR,6,20,19247,0,17299_6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,-76.15970377,-0.041234576,30.0,square,false,0,25,,,,-76.15970377,-0.041234576,22646,7,7,NATURAL,3,20,32950,0,22646_3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,-79.59620271,-4.467635762,30.0,square,false,0,25,,,,-79.59620271,-4.467635762,21311,7,7,NATURAL,3,20,366,0,21311_3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,-79.92181535,-2.264528107,30.0,square,false,0,25,,,,-79.92181535,-2.264528107,4980,1,1,AREA SIN COBERTURA VEGETAL,2,20,12314,0,4980_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,-79.27499367,-4.205641222,30.0,square,false,0,25,,,,-79.27499367,-4.205641222,4981,1,1,AREA SIN COBERTURA VEGETAL,2,20,1927,0,4981_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,-76.92165679,-0.450594915,30.0,square,false,0,25,,,,-76.92165679,-0.450594915,21318,7,7,NATURAL,3,20,29437,0,21318_3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,-79.0448678,1.236345419,30.0,square,false,0,25,,,,-79.0448678,1.236345419,23973,7,7,NATURAL,3,20,38846,0,23973_3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,-77.85309188,-1.824895601,30.0,square,false,0,25,,,,-77.85309188,-1.824895601,23974,7,7,NATURAL,3,20,16078,0,23974_3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,-76.10758932,0.157670098,30.0,square,false,0,25,,,,-76.10758932,0.157670098,22643,7,7,NATURAL,3,20,34966,0,22643_3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,-77.8985762,0.085608488,30.0,square,false,0,25,,,,-77.8985762,0.085608488,23976,7,7,NATURAL,3,20,34521,0,23976_3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,-78.72687542,-3.245078541,30.0,square,false,0,25,,,,-78.72687542,-3.245078541,3649,1,1,AREA SIN COBERTURA VEGETAL,2,20,5994,0,3649_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,-75.92425732,0.097057978,30.0,square,false,0,25,,,,-75.92425732,0.097057978,31585,10,10,TIERRA AGROPECUARIA,5,20,34588,0,31585_5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,-79.20890197,-4.065410867,30.0,square,false,0,25,,,,-79.20890197,-4.065410867,29275,9,9,PLANTACION FORESTAL,4,20,2299,0,29275_4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,-78.07918714,-2.169853054,30.0,square,false,0,25,,,,-78.07918714,-2.169853054,30256,10,10,TIERRA AGROPECUARIA,5,20,13463,0,30256_5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,-80.07353619,0.785212547,30.0,square,false,0,25,,,,-80.07353619,0.785212547,31581,10,10,TIERRA AGROPECUARIA,5,20,37968,0,31581_5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,-78.6837518,-1.40117152,30.0,square,false,0,25,,,,-78.6837518,-1.40117152,29279,9,9,PLANTACION FORESTAL,4,20,20517,0,29279_4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,-78.42702806,-0.160882748,30.0,square,false,0,25,,,,-78.42702806,-0.160882748,30253,10,10,TIERRA AGROPECUARIA,5,20,31854,0,30253_5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,-77.89059196,-0.483550227,30.0,square,false,0,25,,,,-77.89059196,-0.483550227,30252,10,10,TIERRA AGROPECUARIA,5,20,28978,0,30252_5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,-78.65287751,-0.29352845,30.0,square,false,0,25,,,,-78.65287751,-0.29352845,3641,1,1,AREA SIN COBERTURA VEGETAL,2,20,30640,0,3641_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,-76.57819059,-0.045853831,30.0,square,false,0,25,,,,-76.57819059,-0.045853831,8,0,0,AREA POBLADA,1,20,32913,0,8_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,-77.59270278,0.67288643,30.0,square,false,0,25,,,,-77.59270278,0.67288643,9,0,0,AREA POBLADA,1,20,37562,0,9_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,-78.88007701,-2.850862096,30.0,square,false,0,25,,,,-78.88007701,-2.850862096,3643,1,1,AREA SIN COBERTURA VEGETAL,2,20,7682,0,3643_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,-78.90468562,-1.500344298,30.0,square,false,0,25,,,,-78.90468562,-1.500344298,3646,1,1,AREA SIN COBERTURA VEGETAL,2,20,19022,0,3646_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,-80.08806127,0.036119156,30.0,square,false,0,25,,,,-80.08806127,0.036119156,4977,1,1,AREA SIN COBERTURA VEGETAL,2,20,34103,0,4977_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,-78.68471675,-1.923053199,30.0,square,false,0,25,,,,-78.68471675,-1.923053199,3647,1,1,AREA SIN COBERTURA VEGETAL,2,20,15490,0,3647_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,-77.0497461,0.039323582,30.0,square,false,0,25,,,,-77.0497461,0.039323582,3648,1,1,AREA SIN COBERTURA VEGETAL,2,20,34149,0,3648_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,-76.71360009,-0.114072788,30.0,square,false,0,25,,,,-76.71360009,-0.114072788,23944,7,7,NATURAL,3,20,32271,0,23944_3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,-76.37242063,-0.300378338,30.0,square,false,0,25,,,,-76.37242063,-0.300378338,22614,7,7,NATURAL,3,20,30573,0,22614_3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,-79.14158367,-2.427500195,30.0,square,false,0,25,,,,-79.14158367,-2.427500195,23946,7,7,NATURAL,3,20,10705,0,23946_3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,-79.13864204,-2.163998647,30.0,square,false,0,25,,,,-79.13864204,-2.163998647,22615,7,7,NATURAL,3,20,13541,0,22615_3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,-76.59477237,-1.494088827,30.0,square,false,0,25,,,,-76.59477237,-1.494088827,22617,7,7,NATURAL,3,20,19041,0,22617_3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,-79.75022182,-1.53783847,30.0,square,false,0,25,,,,-79.75022182,-1.53783847,23949,7,7,NATURAL,3,20,18749,0,23949_3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,-80.14679686,-2.727364506,30.0,square,false,0,25,,,,-80.14679686,-2.727364506,3661,1,1,AREA SIN COBERTURA VEGETAL,2,20,8284,0,3661_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,-77.83598837,-0.383335113,30.0,square,false,0,25,,,,-77.83598837,-0.383335113,23940,7,7,NATURAL,3,20,29940,0,23940_3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,-80.4802458,-4.053300911,30.0,square,false,0,25,,,,-80.4802458,-4.053300911,22610,7,7,NATURAL,3,20,2356,0,22610_3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,-79.22837728,-2.851699182,30.0,square,false,0,25,,,,-79.22837728,-2.851699182,22611,7,7,NATURAL,3,20,7679,0,22611_3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,-78.95044872,-0.015336858,30.0,square,false,0,25,,,,-78.95044872,-0.015336858,23942,7,7,NATURAL,3,20,33160,0,23942_3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,-76.49527731,-0.473952633,30.0,square,false,0,25,,,,-76.49527731,-0.473952633,23943,7,7,NATURAL,3,20,29200,0,23943_3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,-78.93120063,-2.804718692,30.0,square,false,0,25,,,,-78.93120063,-2.804718692,29244,9,9,PLANTACION FORESTAL,4,20,7931,0,29244_4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,-78.99642117,-0.648658957,30.0,square,false,0,25,,,,-78.99642117,-0.648658957,31575,10,10,TIERRA AGROPECUARIA,5,20,27196,0,31575_5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,-78.18504263,-2.2529764,30.0,square,false,0,25,,,,-78.18504263,-2.2529764,30245,10,10,TIERRA AGROPECUARIA,5,20,12450,0,30245_5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,-80.0375153,0.7464975,30.0,square,false,0,25,,,,-80.0375153,0.7464975,35930,11,11,TIERRA AGROPECUARIA,5,20,37806,0,35930_5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,-78.78125395,-1.697576069,30.0,square,false,0,25,,,,-78.78125395,-1.697576069,2324,0,0,AREA POBLADA,1,20,16943,0,2324_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,-80.9447328,-2.215082433,30.0,square,false,0,25,,,,-80.9447328,-2.215082433,2323,0,0,AREA POBLADA,1,20,13008,0,2323_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,-79.25742838,-3.769582399,30.0,square,false,0,25,,,,-79.25742838,-3.769582399,30241,10,10,TIERRA AGROPECUARIA,5,20,3508,0,30241_5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,-79.56215005,-2.708876108,30.0,square,false,0,25,,,,-79.56215005,-2.708876108,31572,10,10,TIERRA AGROPECUARIA,5,20,8399,0,31572_5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65,-77.99800295,0.005893254,30.0,square,false,0,25,,,,-77.99800295,0.005893254,4983,1,1,AREA SIN COBERTURA VEGETAL,2,20,33339,0,4983_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,-80.33367977,-4.36753841,30.0,square,false,0,25,,,,-80.33367977,-4.36753841,4985,1,1,AREA SIN COBERTURA VEGETAL,2,20,939,0,4985_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,-80.27286479,-4.184401641,30.0,square,false,0,25,,,,-80.27286479,-4.184401641,11960,3,3,BOSQUE NATIVO,4,20,1995,0,11960_4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68,-79.80724072,-2.198872447,30.0,square,false,0,25,,,,-79.80724072,-2.198872447,3654,1,1,AREA SIN COBERTURA VEGETAL,2,20,13156,0,3654_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69,-78.72439643,-3.978065241,30.0,square,false,0,25,,,,-78.72439643,-3.978065241,11961,3,3,BOSQUE NATIVO,4,20,2678,0,11961_4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70,-78.00584104,0.009088583,30.0,square,false,0,25,,,,-78.00584104,0.009088583,4988,1,1,AREA SIN COBERTURA VEGETAL,2,20,33402,0,4988_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71,-77.86191123,-1.838388193,30.0,square,false,0,25,,,,-77.86191123,-1.838388193,11964,3,3,BOSQUE NATIVO,4,20,16012,0,11964_4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,-78.42649273,-1.683107426,30.0,square,false,0,25,,,,-78.42649273,-1.683107426,17277,5,5,GLACIAR,6,20,17293,0,17277_6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,-80.07995451,-2.429913642,30.0,square,false,0,25,,,,-80.07995451,-2.429913642,22625,7,7,NATURAL,3,20,10686,0,22625_3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,-79.37019635,-0.387906715,30.0,square,false,0,25,,,,-79.37019635,-0.387906715,2340,0,0,AREA POBLADA,1,20,29905,0,2340_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75,-77.14121532,-0.430366558,30.0,square,false,0,25,,,,-77.14121532,-0.430366558,23954,7,7,NATURAL,3,20,29638,0,23954_3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,-78.51373654,-0.017178976,30.0,square,false,0,25,,,,-78.51373654,-0.017178976,29255,9,9,PLANTACION FORESTAL,4,20,33151,0,29255_4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77,-76.408514,-0.222975331,30.0,square,false,0,25,,,,-76.408514,-0.222975331,2338,0,0,AREA POBLADA,1,20,31299,0,2338_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78,-78.7480377,-2.061336217,30.0,square,false,0,25,,,,-78.7480377,-2.061336217,3668,1,1,AREA SIN COBERTURA VEGETAL,2,20,14493,0,3668_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79,-80.78925012,-1.184950871,30.0,square,false,0,25,,,,-80.78925012,-1.184950871,30238,10,10,TIERRA AGROPECUARIA,5,20,21826,0,30238_5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80,-80.42173993,-1.840996519,30.0,square,false,0,25,,,,-80.42173993,-1.840996519,38184,12,12,VEGETACION ARBUSTIVA,8,20,16013,0,38184_8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81,-76.8781419,-0.466855584,30.0,square,false,0,25,,,,-76.8781419,-0.466855584,23923,7,7,NATURAL,3,20,29299,0,23923_3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82,-76.99002168,-0.376583748,30.0,square,false,0,25,,,,-76.99002168,-0.376583748,23925,7,7,NATURAL,3,20,29986,0,23925_3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83,-76.41403379,-0.744125091,30.0,square,false,0,25,,,,-76.41403379,-0.744125091,23926,7,7,NATURAL,3,20,25334,0,23926_3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84,-78.13678372,-0.490261531,30.0,square,false,0,25,,,,-78.13678372,-0.490261531,17243,5,5,GLACIAR,6,20,28781,0,17243_6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
